epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1175.97,1.58045,1.80803,1.04476,0.61771,0.56515,0.62653,0.3995,1.35164,1.38969,0.98923,0.000277025,0.000277025,0.000277025
2,2337.96,1.40127,1.03122,0.99931,0.7977,0.77665,0.84867,0.56551,1.25428,0.95282,0.95535,0.000543709,0.000543709,0.000543709
3,3501.38,1.36441,0.9362,0.99486,0.83749,0.80628,0.87632,0.59883,1.2156,0.83387,0.95674,0.000799397,0.000799397,0.000799397
4,4664.19,1.33516,0.84946,0.98536,0.84326,0.82578,0.89181,0.61532,1.18237,0.76998,0.95097,0.00078352,0.00078352,0.00078352
5,5822.05,1.30503,0.79791,0.9802,0.83627,0.82345,0.89243,0.62649,1.16473,0.7463,0.94727,0.000767026,0.000767026,0.000767026
6,6996.82,1.2825,0.77292,0.97548,0.86401,0.83638,0.90422,0.64075,1.14992,0.69297,0.94284,0.000750533,0.000750533,0.000750533
7,8161.47,1.25963,0.74103,0.96781,0.85444,0.83423,0.89938,0.62846,1.16016,0.72921,0.94816,0.00073404,0.00073404,0.00073404
8,9326.67,1.2498,0.71607,0.96444,0.87175,0.85792,0.91749,0.6455,1.15345,0.67642,0.94292,0.000717546,0.000717546,0.000717546
9,10493.6,1.24318,0.70882,0.96302,0.88589,0.85368,0.91824,0.66006,1.11867,0.65153,0.93612,0.000701053,0.000701053,0.000701053
10,11655.1,1.22681,0.69422,0.96007,0.88015,0.85815,0.91716,0.66238,1.11702,0.63542,0.9341,0.000684559,0.000684559,0.000684559
11,12818.5,1.22142,0.68254,0.95905,0.8774,0.85872,0.91983,0.66115,1.12536,0.63074,0.937,0.000668066,0.000668066,0.000668066
12,13981.1,1.20457,0.66933,0.95658,0.88389,0.86418,0.92705,0.67028,1.11331,0.62206,0.93282,0.000651573,0.000651573,0.000651573
13,15146.7,1.19848,0.65971,0.95526,0.87573,0.86553,0.92336,0.67438,1.09317,0.61313,0.92895,0.000635079,0.000635079,0.000635079
14,16309.3,1.19558,0.65452,0.95286,0.88414,0.87653,0.92825,0.68288,1.08085,0.60756,0.92367,0.000618586,0.000618586,0.000618586
15,17475.7,1.18996,0.65029,0.95019,0.8826,0.86582,0.92413,0.67572,1.08691,0.60857,0.92639,0.000602092,0.000602092,0.000602092
16,18639.6,1.17748,0.63896,0.9485,0.89363,0.86805,0.93204,0.68224,1.08256,0.59387,0.92465,0.000585599,0.000585599,0.000585599
17,19803.5,1.17152,0.63362,0.94558,0.87121,0.86733,0.92285,0.67433,1.08666,0.60923,0.92544,0.000569106,0.000569106,0.000569106
18,20962.9,1.17233,0.63078,0.94654,0.90141,0.87253,0.93662,0.69296,1.0661,0.57156,0.92063,0.000552612,0.000552612,0.000552612
19,22125.8,1.16499,0.6247,0.9439,0.8962,0.87615,0.93666,0.69101,1.06973,0.58488,0.9221,0.000536119,0.000536119,0.000536119
20,23287.5,1.15196,0.61664,0.94026,0.89856,0.88034,0.93832,0.69552,1.05512,0.56392,0.91625,0.000519625,0.000519625,0.000519625
21,24449.2,1.14868,0.61013,0.93876,0.89515,0.87968,0.93558,0.69592,1.05283,0.56932,0.91505,0.000503132,0.000503132,0.000503132
22,25610.2,1.14672,0.6087,0.93838,0.8983,0.88959,0.94115,0.70142,1.05079,0.56279,0.91504,0.000486639,0.000486639,0.000486639
23,26773.7,1.14549,0.60248,0.93836,0.90165,0.87719,0.93624,0.70061,1.04127,0.57016,0.91401,0.000470145,0.000470145,0.000470145
24,27936.3,1.13314,0.59891,0.93524,0.90254,0.87894,0.93961,0.70414,1.04173,0.55105,0.91179,0.000453652,0.000453652,0.000453652
25,29095.5,1.12963,0.59378,0.93204,0.90026,0.87798,0.93879,0.70448,1.03669,0.55311,0.91043,0.000437158,0.000437158,0.000437158
26,30259.3,1.12891,0.58819,0.93185,0.90285,0.88438,0.93843,0.70049,1.04042,0.55345,0.91236,0.000420665,0.000420665,0.000420665
27,31420.6,1.12326,0.58571,0.93124,0.90418,0.8936,0.94164,0.70664,1.0333,0.5427,0.90909,0.000404172,0.000404172,0.000404172
28,32580.6,1.12394,0.58225,0.93061,0.90055,0.894,0.9428,0.71055,1.02505,0.54145,0.90806,0.000387678,0.000387678,0.000387678
29,33744.7,1.11518,0.57588,0.93014,0.91014,0.88401,0.94144,0.70943,1.02982,0.53861,0.91006,0.000371185,0.000371185,0.000371185
30,34908.1,1.11188,0.57619,0.92803,0.91573,0.88949,0.94502,0.71449,1.02039,0.53082,0.90726,0.000354691,0.000354691,0.000354691
31,36070.6,1.10728,0.5728,0.92579,0.90259,0.88225,0.94102,0.70775,1.03547,0.54331,0.91137,0.000338198,0.000338198,0.000338198
32,37231.7,1.1033,0.56754,0.92659,0.92034,0.88731,0.94457,0.71503,1.02019,0.53054,0.90787,0.000321705,0.000321705,0.000321705
33,38392.1,1.10002,0.56729,0.92436,0.90741,0.89255,0.94429,0.71317,1.02091,0.5325,0.90774,0.000305211,0.000305211,0.000305211
34,39552.1,1.09468,0.55921,0.9233,0.91256,0.89414,0.94715,0.71794,1.02029,0.52707,0.90714,0.000288718,0.000288718,0.000288718
35,40713.3,1.09656,0.55995,0.92259,0.91831,0.89229,0.94645,0.7203,1.01358,0.52091,0.90418,0.000272224,0.000272224,0.000272224
36,41875.5,1.09381,0.55567,0.92307,0.91282,0.89806,0.94731,0.71915,1.01157,0.52295,0.90471,0.000255731,0.000255731,0.000255731
37,43041.6,1.0851,0.55197,0.92164,0.91432,0.90001,0.94894,0.7223,1.01153,0.51519,0.90409,0.000239238,0.000239238,0.000239238
38,44204.2,1.08831,0.55104,0.92029,0.91761,0.89574,0.94818,0.72257,1.00747,0.51201,0.90273,0.000222744,0.000222744,0.000222744
39,45363.5,1.07812,0.54505,0.91885,0.91863,0.89957,0.94949,0.72449,1.00607,0.50993,0.90294,0.000206251,0.000206251,0.000206251
40,46525.5,1.07446,0.5441,0.91751,0.91457,0.89823,0.94866,0.72261,1.00245,0.51227,0.9014,0.000189757,0.000189757,0.000189757
41,47662.4,1.05903,0.51927,0.92054,0.91462,0.89871,0.94824,0.71964,1.01892,0.51626,0.90597,0.000173264,0.000173264,0.000173264
42,48800.6,1.04776,0.51207,0.91687,0.91643,0.90039,0.94905,0.72175,1.01458,0.51392,0.90457,0.000156771,0.000156771,0.000156771
43,49937.5,1.04555,0.50672,0.91631,0.91709,0.90205,0.94912,0.72237,1.01119,0.51282,0.90454,0.000140277,0.000140277,0.000140277
44,51075.9,1.04033,0.50338,0.91448,0.92064,0.8985,0.94983,0.72448,1.00689,0.50958,0.90257,0.000123784,0.000123784,0.000123784
45,52211.9,1.03832,0.50177,0.91374,0.91672,0.90361,0.9498,0.72489,1.00606,0.50609,0.90322,0.00010729,0.00010729,0.00010729
